"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"BIvaGooVvpDes","","A.D.A040","0107010.04","Desinvesteringen","Desinvesteringen goodwill","C","5","","","1","","1","","","","","","","","1",""
"BIvaGooVvpDda","","A.D.A050","0107010.05","Afstotingen","Afstotingen goodwill","C","5","","","1","","1","","","","","","","","1",""
"BIvaGooVvpOmv","","A.D.A080","0107010.06","Omrekeningsverschillen","Omrekeningsverschillen goodwill","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooVvpOvm","","A.D.A090","0107010.07","Overige mutaties","Overige mutaties goodwill","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooCae","","A.D.B","0107020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen goodwill","C","4","1","","1",""," ","","","","","","","","",""
"BIvaGooCaeBeg","","A.D.B010","0107020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) goodwill","C","5","","","1","1","1","","","","","","","","1",""
"BIvaGooCaeAfs","","A.D.B020","0107020.02","Afschrijvingen","Afschrijvingen goodwill","C","5","","","1","","1","","","","","","","","1",""
"BIvaGooCaeDca","","A.D.B030","0107020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen goodwill","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooCaeWvr","","A.D.B040","0107020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen goodwill","C","5","","","1","","1","","","","","","","","1",""
"BIvaGooCaeTvw","","A.D.B050","0107020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen goodwill","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooCuh","","A.D.C","0107030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen goodwill","D","4","","","1",""," ","","","","","","","","",""
"BIvaGooCuhBeg","","A.D.C010","0107030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) goodwill","D","5","","","1","1","1","","","","","","","","1",""
"BIvaGooCuhHer","","A.D.C020","0107030.02","Herwaarderingen","Herwaarderingen goodwill","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooCuhAfh","","A.D.C030","0107030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen concessies, goodwill","C","5","","","1","","1","","","","","","","","1",""
"BIvaGooCuhAvg","","A.D.C035","0107030.05","Aanpassingen van de goodwill als gevolg van later geïdentificeerde activa en passiva en veranderingen in de waarde ervan","Aanpassingen van de goodwill als gevolg van later geïdentificeerde activa en passiva en veranderingen in de waarde ervan","D","5","","","1","","1","","","","","","","","1",""
"BIvaGooCuhDeh","","A.D.C040","0107030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen goodwill","C","5","","","1","","1","","","","","","","","1",""
"BIvaVoi","","A.E","0109000","Vooruitbetalingen op immateriële vaste activa","Vooruitbetalingen op immateriële vaste activa","D","3","","","","","1","","","","","1","","","",""
"BIvaVoiVvp","","A.E.A","0109010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs vooruitbetalingen op immateriële vaste activa","D","4","","","","","1","","","","","1","","","",""
"BIvaVoiVvpBeg","","A.E.A010","0109010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa","D","5","","","","1","1","","","","","1","","","1",""
"BIvaVoiVvpInv","","A.E.A020","0109010.02","Investeringen","Investeringen vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiVvpAdo","","A.E.A030","0109010.03","Bij overname verkregen activa","Bij overname verkregen activa vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiVvpDes","","A.E.A040","0109010.04","Desinvesteringen","Desinvesteringen vooruitbetalingen op immateriële vaste activa","C","5","","","","","1","","","","","1","","","1",""
"BIvaVoiVvpDda","","A.E.A050","0109010.05","Afstotingen","Afstotingen vooruitbetalingen op immateriële vaste activa","C","5","","","","","1","","","","","1","","","1",""
"BIvaVoiVvpOmv","","A.E.A080","0109010.06","Omrekeningsverschillen","Omrekeningsverschillen vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiVvpOvm","","A.E.A090","0109010.07","Overige mutaties","Overige mutaties vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCae","","A.E.B","0109020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen vooruitbetalingen op immateriële vaste activa","C","4","","","","","1","","","","","1","","","",""
"BIvaVoiCaeBeg","","A.E.B010","0109020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa","C","5","","","","1","1","","","","","1","","","1",""
"BIvaVoiCaeAfs","","A.E.B020","0109020.02","Afschrijvingen","Afschrijvingen vooruitbetalingen op immateriële vaste activa","C","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCaeDca","","A.E.B030","0109020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCaeWvr","","A.E.B040","0109020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen vooruitbetalingen op immateriële vaste activa","C","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCaeTvw","","A.E.B050","0109020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCuh","","A.E.C","0109030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen vooruitbetalingen op immateriële vaste activa","D","4","","","","","1","","","","","1","","","",""
"BIvaVoiCuhBeg","","A.E.C010","0109030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa","D","5","","","","1","1","","","","","1","","","1",""
