"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"BEivKa2PrsOps","","J.N.B100","0509130.11","Overige privé-stortingen ","Overige privé-stortingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1",""
"BEivKa2Pro","","J.N.C","0509140","Privé-opnamen firmant 2","Privé-opnamen firmant 2","D","4","","","","","1","","","","1","","","","",""
"BEivKa2ProPok","","J.N.C010","0509140.02","Privé-opname kapitaal ","Privé-opname kapitaal eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPmv","","J.N.C020","0509140.03","Privé-gebruik materiële vaste activa ","Privé-gebruik materiële vaste activa eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPrg","","J.N.C030","0509140.04","Privé-verbruik goederen ","Privé-verbruik goederen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPiz","","J.N.C040","0509140.05","Privé-aandeel in zakelijke lasten ","Privé-aandeel in zakelijke lasten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPpr","","J.N.C050","0509140.06","Privé-premies ","Privé-premies eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPri","","J.N.C060","0509140.07","Privé-belastingen ","Privé-belastingen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPer","","J.N.C070","0509140.08","Privé-aflossingen en rente ","Privé-aflossingen en rente eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProPrk","","J.N.C080","0509140.09","Privé-aftrekbare kosten ","Privé-aftrekbare kosten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProFor","","J.N.C090","0509140.10","Dotatie Fiscale Oudedags Reserve ","Dotatie Fiscale Oudedags Reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa2ProOvp","","J.N.C100","0509140.11","Overige privé-opnamen ","Overige privé-opnamen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivKa3","","J.O","0509200","Eigen vermogen firmant 3","Eigen vermogen firmant 3","C","3","","","","","1","","","","1","","","","","1"
"BEivKa3Ond","","J.O.A","0509210","Ondernemingsvermogen exclusief fiscale reserves fiscaal","Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen","C","4","","","","","1","","","","1","","","","","1"
"BEivKa3OndBeg","","J.O.A010","0509210.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","","1","","","","1","1"
"BEivKa3OndRgv","","J.O.A020","0509220.02","Rente geïnvesteerd vermogen ","Rente geïnvesteerd vermogen  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3OndArb","","J.O.A030","0509220.03","Arbeidsvergoeding ","Arbeidsvergoeding  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3OndVbv","","J.O.A040","0509220.04","Vergoeding buitenvennootschappelijk vermogen ","Vergoeding buitenvennootschappelijk vermogen  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3OndAow","","J.O.A050","0509220.05","Aandeel in de overwinst ","Aandeel in de overwinst  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3OndOvm","","J.O.A060","0509220.06","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3Prs","","J.O.B","0509230","Privé-stortingen firmant 3","Privé-stortingen firmant 3","C","4","","","","","1","","","","1","","","","","1"
"BEivKa3PrsPsk","","J.O.B010","0509230.02","Privé-storting kapitaal ","Privé-storting kapitaal eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOns","","J.O.B020","0509230.03","Ontvangen schenkingen ","Ontvangen schenkingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOlp","","J.O.B030","0509230.04","Ontvangen loon, uitkeringen of pensioenen ","Ontvangen loon, uitkeringen of pensioenen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOte","","J.O.B040","0509230.05","Ontvangen toeslagen en toelagen ","Ontvangen toeslagen en toelagen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOnk","","J.O.B050","0509230.06","Ontvangen kostenvergoedingen ","Ontvangen kostenvergoedingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOpp","","J.O.B060","0509230.07","Opname privé-financieringen ","Opname privé-financieringen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOsp","","J.O.B070","0509230.08","Opname privé-spaargelden ","Opname privé-spaargelden eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsVep","","J.O.B080","0509230.09","Verkoop privé-bezittingen ","Verkoop privé-bezittingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsPzl","","J.O.B090","0509230.10","Privé-betaalde zakelijke lasten ","Privé-betaalde zakelijke lasten eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3PrsOps","","J.O.B100","0509230.11","Overige privé-stortingen ","Overige privé-stortingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa3Pro","","J.O.C","0509240","Privé-opnamen firmant 3","Privé-opnamen firmant 3","D","4","","","","","1","","","","1","","","","","1"
"BEivKa3ProPok","","J.O.C010","0509240.02","Privé-opname kapitaal ","Privé-opname kapitaal eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPmv","","J.O.C020","0509240.03","Privé-gebruik materiële vaste activa ","Privé-gebruik materiële vaste activa eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPrg","","J.O.C030","0509240.04","Privé-verbruik goederen ","Privé-verbruik goederen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPiz","","J.O.C040","0509240.05","Privé-aandeel in zakelijke lasten ","Privé-aandeel in zakelijke lasten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPpr","","J.O.C050","0509240.06","Privé-premies ","Privé-premies eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPri","","J.O.C060","0509240.07","Privé-belastingen ","Privé-belastingen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPer","","J.O.C070","0509240.08","Privé-aflossingen en rente ","Privé-aflossingen en rente eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProPrk","","J.O.C080","0509240.09","Privé-aftrekbare kosten ","Privé-aftrekbare kosten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProFor","","J.O.C090","0509240.10","Dotatie Fiscale Oudedags Reserve ","Dotatie Fiscale Oudedags Reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa3ProOvp","","J.O.C100","0509240.11","Overige privé-opnamen ","Overige privé-opnamen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4","","J.P","0509300","Eigen vermogen firmant 4","Eigen vermogen firmant 4","C","3","","","","","1","","","","1","","","","","1"
"BEivKa4Ond","","J.P.A","0509310","Ondernemingsvermogen exclusief fiscale reserves fiscaal","Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen","C","4","","","","","1","","","","1","","","","","1"
"BEivKa4OndBeg","","J.P.A010","0509310.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","","1","","","","1","1"
"BEivKa4OndRgv","","J.P.A020","0509320.02","Rente geïnvesteerd vermogen ","Rente geïnvesteerd vermogen  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4OndArb","","J.P.A030","0509320.03","Arbeidsvergoeding ","Arbeidsvergoeding  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4OndVbv","","J.P.A040","0509320.04","Vergoeding buitenvennootschappelijk vermogen ","Vergoeding buitenvennootschappelijk vermogen  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4OndAow","","J.P.A050","0509320.05","Aandeel in de overwinst ","Aandeel in de overwinst  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4OndOvm","","J.P.A060","0509320.06","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4Prs","","J.P.B","0509330","Privé-stortingen firmant 4","Privé-stortingen firmant 4","C","4","","","","","1","","","","1","","","","","1"
"BEivKa4PrsPsk","","J.P.B010","0509330.02","Privé-storting kapitaal ","Privé-storting kapitaal eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOns","","J.P.B020","0509330.03","Ontvangen schenkingen ","Ontvangen schenkingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOlp","","J.P.B030","0509330.04","Ontvangen loon, uitkeringen of pensioenen ","Ontvangen loon, uitkeringen of pensioenen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOte","","J.P.B040","0509330.05","Ontvangen toeslagen en toelagen ","Ontvangen toeslagen en toelagen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOnk","","J.P.B050","0509330.06","Ontvangen kostenvergoedingen ","Ontvangen kostenvergoedingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOpp","","J.P.B060","0509330.07","Opname privé-financieringen ","Opname privé-financieringen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOsp","","J.P.B070","0509330.08","Opname privé-spaargelden ","Opname privé-spaargelden eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsVep","","J.P.B080","0509330.09","Verkoop privé-bezittingen ","Verkoop privé-bezittingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsPzl","","J.P.B090","0509330.10","Privé-betaalde zakelijke lasten ","Privé-betaalde zakelijke lasten eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4PrsOps","","J.P.B100","0509330.11","Overige privé-stortingen ","Overige privé-stortingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa4Pro","","J.P.C","0509340","Privé-opnamen firmant 4","Privé-opnamen firmant 4","D","4","","","","","1","","","","1","","","","","1"
"BEivKa4ProPok","","J.P.C010","0509340.02","Privé-opname kapitaal ","Privé-opname kapitaal eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPmv","","J.P.C020","0509340.03","Privé-gebruik materiële vaste activa ","Privé-gebruik materiële vaste activa eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPrg","","J.P.C030","0509340.04","Privé-verbruik goederen ","Privé-verbruik goederen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPiz","","J.P.C040","0509340.05","Privé-aandeel in zakelijke lasten ","Privé-aandeel in zakelijke lasten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPpr","","J.P.C050","0509340.06","Privé-premies ","Privé-premies eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPri","","J.P.C060","0509340.07","Privé-belastingen ","Privé-belastingen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPer","","J.P.C070","0509340.08","Privé-aflossingen en rente ","Privé-aflossingen en rente eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProPrk","","J.P.C080","0509340.09","Privé-aftrekbare kosten ","Privé-aftrekbare kosten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProFor","","J.P.C090","0509340.10","Dotatie Fiscale Oudedags Reserve ","Dotatie Fiscale Oudedags Reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa4ProOvp","","J.P.C100","0509340.11","Overige privé-opnamen ","Overige privé-opnamen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5","","J.Q","0509400","Eigen vermogen firmant 5","Eigen vermogen firmant 5","C","3","","","","","1","","","","1","","","","","1"
"BEivKa5Ond","","J.Q.A","0509410","Ondernemingsvermogen exclusief fiscale reserves fiscaal","Ondernemingsvermogen exclusief fiscale reserves fiscaal eigen vermogen onderneming natuurlijke personen","C","4","","","","","1","","","","1","","","","","1"
"BEivKa5OndBeg","","J.Q.A010","0509410.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","","1","","","","1","1"
"BEivKa5OndRgv","","J.Q.A020","0509420.02","Rente geïnvesteerd vermogen ","Rente geïnvesteerd vermogen  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5OndArb","","J.Q.A030","0509420.03","Arbeidsvergoeding ","Arbeidsvergoeding  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5OndVbv","","J.Q.A040","0509420.04","Vergoeding buitenvennootschappelijk vermogen ","Vergoeding buitenvennootschappelijk vermogen  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5OndAow","","J.Q.A050","0509420.05","Aandeel in de overwinst ","Aandeel in de overwinst  eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5OndOvm","","J.Q.A060","0509420.06","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5Prs","","J.Q.B","0509430","Privé-stortingen firmant 5","Privé-stortingen firmant 5","C","4","","","","","1","","","","1","","","","","1"
"BEivKa5PrsPsk","","J.Q.B010","0509430.02","Privé-storting kapitaal ","Privé-storting kapitaal eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOns","","J.Q.B020","0509430.03","Ontvangen schenkingen ","Ontvangen schenkingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOlp","","J.Q.B030","0509430.04","Ontvangen loon, uitkeringen of pensioenen ","Ontvangen loon, uitkeringen of pensioenen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOte","","J.Q.B040","0509430.05","Ontvangen toeslagen en toelagen ","Ontvangen toeslagen en toelagen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOnk","","J.Q.B050","0509430.06","Ontvangen kostenvergoedingen ","Ontvangen kostenvergoedingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOpp","","J.Q.B060","0509430.07","Opname privé-financieringen ","Opname privé-financieringen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOsp","","J.Q.B070","0509430.08","Opname privé-spaargelden ","Opname privé-spaargelden eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsVep","","J.Q.B080","0509430.09","Verkoop privé-bezittingen ","Verkoop privé-bezittingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsPzl","","J.Q.B090","0509430.10","Privé-betaalde zakelijke lasten ","Privé-betaalde zakelijke lasten eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5PrsOps","","J.Q.B100","0509430.11","Overige privé-stortingen ","Overige privé-stortingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1","1"
"BEivKa5Pro","","J.Q.C","0509440","Privé-opnamen firmant 5","Privé-opnamen firmant 5","D","4","","","","","1","","","","1","","","","","1"
"BEivKa5ProPok","","J.Q.C010","0509440.02","Privé-opname kapitaal ","Privé-opname kapitaal eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPmv","","J.Q.C020","0509440.03","Privé-gebruik materiële vaste activa ","Privé-gebruik materiële vaste activa eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPrg","","J.Q.C030","0509440.04","Privé-verbruik goederen ","Privé-verbruik goederen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPiz","","J.Q.C040","0509440.05","Privé-aandeel in zakelijke lasten ","Privé-aandeel in zakelijke lasten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPpr","","J.Q.C050","0509440.06","Privé-premies ","Privé-premies eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPri","","J.Q.C060","0509440.07","Privé-belastingen ","Privé-belastingen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPer","","J.Q.C070","0509440.08","Privé-aflossingen en rente ","Privé-aflossingen en rente eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProPrk","","J.Q.C080","0509440.09","Privé-aftrekbare kosten ","Privé-aftrekbare kosten eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProFor","","J.Q.C090","0509440.10","Dotatie Fiscale Oudedags Reserve ","Dotatie Fiscale Oudedags Reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivKa5ProOvp","","J.Q.C100","0509440.11","Overige privé-opnamen ","Overige privé-opnamen eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1","1"
"BEivOkc","","J.X","0509079","Overige kapitaalcomponenten","Overige kapitaalcomponenten","C","3","","","","","1","","","1","1","","","","",""
"BEivOkcInk","","J.X.A","0509080","Informeel kapitaal","Informeel kapitaal (alleen in BD-VPB)","C","4","","",""," ","1","","","1","1","","","","",""
"BEivOkcInkBeg","","J.X.A010","0509080.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","1","1","","","","1",""
"BEivOkcInkKap","","J.X.A020","0509080.02","Kapitaalmutaties","Kapitaalmutaties eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","1","","","","1",""
"BEivOkcInkKac","","J.X.A030","0509080.03","Kapitaalcorrecties","Kapitaalcorrecties eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","1","","","","1",""
"BEivOkcInkOvm","","J.X.A040","0509080.04","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","1","","","","1",""
"BEivOkcKeg","","J.X.B","0510050","Kosten egalisatiereserve fiscaal","Kosten egalisatiereserve fiscaal (alleen in BD-VPB)","C","4","","","","","1","","","1","1","","","","",""
"BEivOkcKegBeg","","J.X.B010","0510050.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","1","1","","","","1",""
"BEivOkcKegDot","","J.X.B020","0510050.02","Dotatie","Dotatie eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","1","","","","1",""
"BEivOkcKegAtg","","J.X.B030","0510050.03","Afname ten gunste van het resultaat","Afname ten gunste van het resultaat eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","1","","","","1",""
"BEivOkcKegKtl","","J.X.B040","0510050.04","Kosten ten laste van reserve","Kosten ten laste van reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","1","","","","1",""
"BEivOkcKegOve","","J.X.B050","0510050.05","Overboekingen","Overboekingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","1","","","","1",""
"BEivOkcKegVal","","J.X.B060","0510050.06","Valutaomrekeningsverschillen","Valutaomrekeningsverschillen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","1","","","","1",""
"BEivOkcKegOvm","","J.X.B070","0510050.07","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","1","","","","1",""
"BEivFir","","J.Y","0510000","Fiscale reserves","Fiscale reserves","C","3","1","","","","1","","","","","","","","",""
"BEivFirHer","","J.Y.A","0510020","Herinvesteringsreserve fiscaal","Herinvesteringsreserve fiscaal eigen vermogen onderneming natuurlijke personen","C","4","1","","","","1","","","","","","","","",""
"BEivFirHerBeg","","J.Y.A010","0510020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","","","","","","1",""
"BEivFirHerDot","","J.Y.A020","0510020.02","Dotatie","Dotatie eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","","","","","1",""
"BEivFirHerAaw","","J.Y.A030","0510020.03","Afname ten gunste van het resultaat","Afname ten gunste van het resultaat eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","","","","","1",""
"BEivFirHerKtl","","J.Y.A040","0510020.07","Kosten ten laste van reserve","Kosten ten laste van reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","","","","","1",""
"BEivFirHerOve","","J.Y.A050","0510020.04","Overboekingen","Overboekingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","","","","","1",""
"BEivFirHerVal","","J.Y.A060","0510020.05","Valutaomrekeningsverschillen","Valutaomrekeningsverschillen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","","","","","1",""
"BEivFirHerOvm","","J.Y.A070","0510020.06","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","","","","","1",""
"BEivFirFor","","J.Y.B","0510010","Fiscale oudedagsreserve","Fiscale oudedagsreserve eigen vermogen onderneming natuurlijke personen","C","4","1","","","","1","",""," ","1","","","","",""
"BEivFirForBeg","","J.Y.B010","0510010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","","1","","","","1",""
"BEivFirForFor","","J.Y.B020","0510010.02","Dotatie","Dotatie eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1",""
"BEivFirForAtg","","J.Y.B030","0510010.08","Afname ten gunste van het resultaat","Afname ten gunste van het resultaat eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivFirForKtl","","J.Y.B040","0510010.07","Kosten ten laste van reserve","Kosten ten laste van reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","","1","","","","1",""
"BEivFirForOve","","J.Y.B050","0510010.03","Overboekingen","Overboekingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1",""
"BEivFirForVal","","J.Y.B060","0510010.09","Valutaomrekeningsverschillen","Valutaomrekeningsverschillen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1",""
"BEivFirForOvm","","J.Y.B070","0510010.04","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","","1","","","","1",""
"BEivFirOpw","","J.Y.C","0510030","Opwaarderingsreserve","Opwaarderingsreserve eigen vermogen onderneming natuurlijke personen","C","4","","","","","1","","","","","","","","",""
"BEivFirOpwBeg","","J.Y.C010","0510030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","1","","","","","1",""
"BEivFirOpwDot","","J.Y.C020","0510030.02","Dotatie","Dotatie eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","","","","","1",""
"BEivFirOpwAtg","","J.Y.C030","0510030.08","Afname ten gunste van het resultaat","Afname ten gunste van het resultaat eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","","","","","1",""
"BEivFirOpwAaw","","J.Y.C040","0510030.03","Kosten ten laste van reserve","Kosten ten laste van reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","","","","","1",""
"BEivFirOpwOve","","J.Y.C050","0510030.04","Overboekingen","Overboekingen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","","","","","1",""
"BEivFirOpwVal","","J.Y.C060","0510030.05","Valutaomrekeningsverschillen","Valutaomrekeningsverschillen eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","","","","","1",""
"BEivFirOpwOvm","","J.Y.C070","0510030.06","Overige mutaties","Overige mutaties eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","","","","","1",""
"BEivFirRae","","J.Y.D","0510040","Reserve assurantie eigen risico","Reserve assurantie eigen risico eigen vermogen onderneming natuurlijke personen","C","4","","","","","1","","","","","","","","",""
"BEivFirRaeBeg","","J.Y.D010","0510040.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) eigen vermogen onderneming natuurlijke personen","C","5","","","","1","1","","","1","","","","","1",""
"BEivFirRaeDot","","J.Y.D020","0510040.02","Dotatie","Dotatie eigen vermogen onderneming natuurlijke personen","C","5","","","","","1","","","1","","","","","1",""
"BEivFirRaeAtg","","J.Y.D030","0510040.03","Afname ten gunste van het resultaat","Afname ten gunste van het resultaat eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","","","","","1",""
"BEivFirRaeKtl","","J.Y.D040","0510040.04","Kosten ten laste van reserve","Kosten ten laste van reserve eigen vermogen onderneming natuurlijke personen","D","5","","","","","1","","","1","","","","","1",""
